Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "ESP32_Board_RevA.brd" as of: 31/12/2019 03:36 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
ACT,Top,0.945,1.382,270
C1,Top,1.665,0.382,90
C2,Bottom,0.360,1.047,90
C3,Bottom,0.480,1.283,90
C4,Bottom,0.760,0.780,90
C5,Bottom,0.941,1.816,90
C6,Bottom,1.024,1.130,270
C7,Bottom,1.157,1.130,90
C8,Bottom,1.181,1.244,180
C10,Bottom,0.583,0.394,270
C12,Bottom,0.382,0.630,270
C13,Bottom,0.382,0.350,270
C14,Top,1.831,1.343,180
C15,Top,0.717,1.791,270
C16,Top,0.150,0.732,270
C17,Top,0.583,0.240,0
C18,Top,1.480,0.311,270
CHG,Bottom,0.067,1.661,0
D4,Bottom,0.783,1.228,0
FB1,Bottom,0.382,0.421,0
FB2,Bottom,0.382,0.559,0
IC1,Bottom,0.551,1.136,90
IC2,Bottom,0.937,1.575,270
J14,Bottom,0.079,0.988,180
J17,Bottom,1.795,1.409,270
LED1,Top,1.654,0.988,0
LED2,Top,1.604,1.237,22.5
LED3,Top,1.463,1.448,45
LED4,Top,1.253,1.588,67.5
LED5,Top,1.004,1.638,90
LED6,Top,0.755,1.588,112.5
LED7,Top,0.545,1.448,135
LED8,Top,0.404,1.237,157.5
LED9,Top,0.354,0.988,180
LED10,Top,0.404,0.740,202.5
LED11,Top,0.545,0.529,225
LED12,Top,0.755,0.388,247.5
LED13,Top,1.004,0.339,270
LED14,Top,1.253,0.388,292.5
LED15,Top,1.463,0.529,315
LED16,Top,1.604,0.740,337.5
Q1,Bottom,0.760,0.882,270
Q2,Bottom,0.496,0.882,90
Q3,Bottom,0.882,1.122,180
R1,Top,0.791,1.024,180
R2,Bottom,0.150,1.669,0
R3,Top,0.720,1.024,0
R4,Bottom,0.602,1.543,0
R5,Top,0.945,1.311,90
R6,Bottom,0.713,0.453,270
R7,Bottom,0.937,1.244,0
R8,Top,1.433,0.921,90
R9,Top,0.935,0.772,0
R12,Bottom,0.783,1.307,90
R13,Bottom,0.628,0.866,90
S2,Top,1.004,0.988,90
SW2,Bottom,0.764,1.016,0
U$34,Top,1.937,1.764,0
U$35,Top,0.067,0.240,0
U1,Bottom,0.563,0.508,0
U2,Bottom,1.059,1.244,90
U3,Bottom,0.563,1.402,0
X2,Bottom,0.161,1.390,270
X5,Bottom,1.496,0.634,90
